"","properties.addl_addr","properties.architect","properties.const_date","properties.geo_addr","properties.name","properties.no_cbd","properties.nom_des","properties.num1_edit","properties.num2_edit","properties.num_orig","properties.objectid","properties.staff","properties.str_orig","properties.street","type","lat","lon","datetime"
"264","","William Freret","1860","1711 Second Street","Freret-Baskin-Glickman House","New Orleans","Designated",1711,0,"1711",263,"KAF","Second Street","Second Street","Feature",29.9335148670827,-90.0842695462227,1860-01-01T01:01
"265","","William Freret","1860","1715 Second Street","Freret-Garretson House","New Orleans","Designated",1715,0,"1715",264,"KAF","Second Street","Second Street","Feature",29.9335857984855,-90.0843247014949,1860-01-01T01:01
"266","","William Freret","1860","1719 Second Street","Freret-McCurley House","New Orleans","Designated",1719,0,"1719",265,"KAF","Second Street","Second Street","Feature",29.9336513667998,-90.0843732608838,1860-01-01T01:01
"267","","Unknown","1870","2203 Second Street","St. Francis de Sales Church","New Orelans","Designated",2203,0,"2203",266,"KAF","Second Street","Second Street","Feature",29.9375000475122,-90.0872456189229,1870-01-01T01:01
"268","","Unknown","1835","436 Seventh Street","Grigson-Sanders House","New Orleans","Designated",436,0,"0436",267,"KAF","Seventh Street","Seventh Street","Feature",29.9205122979312,-90.0814532197198,1835-01-01T01:01
"269","2000 S Carrollton Avenue","","","8119 Spruce Street","","New Orleans","Nominated",8119,0,"8119",268,"KAF","Spruce Street","Spruce Street","Feature",29.9533429226508,-90.1239582716683,NA
"270","","Unknown","1867","1722 St. Andrew Street","Schiller-Ellicott House","New Orleans","Designated",1722,0,"1722",269,"KAF","St. Andrew Street","St. Andrew Street","Feature",29.9368583532529,-90.0803709876795,1867-01-01T01:01
"271","","Unknown","1867","1724 St. Andrew Street","Schiller-Frech House","New Orleans","Designated",1724,0,"1724",270,"KAF","St. Andrew Street","St. Andrew Street","Feature",29.9369137328513,-90.080417538449,1867-01-01T01:01
"272","","Henry Howard","1875","115 St. Charles Avenue","Pickwick Club","CBD","Designated",115,0,"0115",271,"KAF","St. Charles Avenue","St. Charles Avenue","Feature",29.9528256986765,-90.0695031836372,1875-01-01T01:01
"273","","Unknown","1839-44","119 St. Charles Avenue","Kolb's Restaurant","CBD","Designated",119,125,"0119-25",272,"KAF","St. Charles Avenue","St. Charles Avenue","Feature",29.9527304236581,-90.0695853895072,1839-01-01T01:01
"274","","Unknown","1845","121 St. Charles Avenue","Magoffin-Pratt-Mainegra Buildings","CBD","Designated",121,125,"0121-125",273,"KAF","St. Charles Avenue","St. Charles Avenue","Feature",29.9526831204464,-90.069610341019,1845-01-01T01:01
"275","","Unknown","1851","301 St. Charles Avenue","Touro Row","CBD","Designated",301,311,"0301-11",274,"KAF","St. Charles Avenue","St. Charles Avenue","Feature",29.9514476836771,-90.0701614179041,1851-01-01T01:01
"276","","","","333 St. Charles Avenue","Masonic Temple Building","CBD","Designated",333,0,"0333",275,"KAF","St. Charles Avenue","St. Charles Avenue","Feature",29.9506981731263,-90.0703910591165,NA
"277","","Emile Weil","1917","1137 St. Charles Avenue","","New Orleans","Nominated",1137,0,"1137",276,"KAF","St. Charles Avenue","St. Charles Avenue","Feature",29.9416410514323,-90.0738733446641,1917-01-01T01:01
"278","","James Campbell, Builder","1845","1401 St. Charles Avenue","Lallonde-Fortier House","New Orleans","Designated",1401,0,"1401",277,"KAF","St. Charles Avenue","St. Charles Avenue","Feature",29.9398298552564,-90.075210566936,1845-01-01T01:01
"279","1601 MLK Boulevard","","","1433 St. Charles Avenue","St. Charles Tavern","New Orleans","Designated",1433,0,"1433",278,"KAF","St. Charles Avenue","St. Charles Avenue","Feature",29.9392914262281,-90.0756086882072,NA
"280","","Unknown, Addition:Weiss & Dreyfous","1923; 1925","1901 St. Charles Avenue","OK Public Storage","New Orleans","Designated",1901,0,"1901",279,"KAF","St. Charles Avenue","St. Charles Avenue","Feature",29.9358009685756,-90.0785123996854,1923-01-01T01:01
"281","","Unknown","1853","1912 St. Charles Avenue","Walker-Wynn House","New Orleans","Designated",1912,0,"1912",280,"KAF","St. Charles Avenue","St. Charles Avenue","Feature",29.9354029921091,-90.0783218907238,1853-01-01T01:01
"282","","Henry Howard","1860","2139 St. Charles Avenue","P.T. Philips Grocery","New Orleans","Designated",2139,2141,"2139-41",281,"KAF","St. Charles Avenue","St. Charles Avenue","Feature",29.9344314522479,-90.0796407008672,1860-01-01T01:01
"283","429-33 N. Villere Street","","","1534 St. Louis Street","Joe Victor's Saloon","New Orleans","Designated",1534,1536,"1534-36",282,"KAF","St. Louis Street","St. Louis Street","Feature",29.9611393410926,-90.0733938479678,NA
"284","","","","1725 St. Roch Avenue","St. Roch Shrine","New Orleans","Designated",1725,0,"1725",283,"KAF","St. Roch Avenue","St. Roch Avenue","Feature",29.975445441141,-90.0520183759486,NA
"285","","Bacccich & DeMontluzin","1912","4615 St. Roch Avenue","Gentilly Terrace Co./Collier House","New Orleans","Designated",4615,0,"4615",284,"KAF","St. Roch Avenue","St. Roch Avenue","Feature",30.0053245523855,-90.0548435927395,1912-01-01T01:01
"286","","Allison Owen, Diboll & Owen","1902","1237 State Street","Owen Lassus House","New Orleans","Designated",1237,0,"1237",285,"KAF","State Street","State Street","Feature",29.926355590376,-90.1195658435651,1902-01-01T01:01
"287","","Robert Spencer Soule","1901-02","1525 State Street","Glover House","New Orleans","Designated",1525,0,"1525",286,"KAF","State Street","State Street","Feature",29.9296728368418,-90.1182772654901,1901-01-01T01:01
"288","","Unknown","1830","701 Tchoupitoulas Street","Girod Simkin Buildings","CBD","Designated",701,703,"0701-03",287,"KAF","Tchoupitoulas Street","Tchoupitoulas Street","Feature",29.9463955822632,-90.0675038003994,1830-01-01T01:01
"289","","James Gallier, Jr.","1852","923 Tchoupitoulas Street","Leeds Foundry","CBD","Designated",923,0,"0923",288,"KAF","Tchoupitoulas Street","Tchoupitoulas Street","Feature",29.9428276567443,-90.0677653306809,1852-01-01T01:01
"290","","Unknown","1840-53","1501 Tchoupitoulas Street","Millaudon-Laux House","New Orleans","Designated",1501,0,"1501",289,"KAF","Tchoupitoulas Street","Tchoupitoulas Street","Feature",29.9328854436568,-90.066072978924,1840-01-01T01:01
"291","","Unknown","1840-53","1503 Tchoupitoulas Street","Millaudon-Alexander House","New Orleans","Designated",1503,0,"1503",290,"KAF","Tchoupitoulas Street","Tchoupitoulas Street","Feature",29.9328177245823,-90.0660667122925,1840-01-01T01:01
"292","","","","1744 Tchoupitoulas Street","","New Orleans","Designated",1744,1746,"1744-46",291,"KAF","Tchoupitoulas Street","Tchoupitoulas Street","Feature",29.9278454994068,-90.066908390419,NA
"293","","","","3901 Tchoupitoulas Street","","New Orelans","Nominated",3901,0,"3901",292,"KAF","Tchoupitoulas Street","Tchoupitoulas Street","Feature",29.9178162776379,-90.0942160113239,NA
"294","","","1853","3905 Tchoupitoulas Street","Lochbaum Residence","New Orleans","Nominated",3905,3907,"3905-07",293,"KAF","Tchoupitoulas Street","Tchoupitoulas Street","Feature",29.9177739268242,-90.0943067132938,1853-01-01T01:01
"295","","","","3987 Tchoupitoulas Street","","New Orleans","Nominated",3987,0,"3987",294,"KAF","Tchoupitoulas Street","Tchoupitoulas Street","Feature",29.9177555085591,-90.096285063209,NA
"296","","","","3989 Tchoupitoulas Street","","New Orleans","Nominated",3989,3991,"3989-91",295,"KAF","Tchoupitoulas Street","Tchoupitoulas Street","Feature",29.9176197634971,-90.0963955909364,NA
"297","","","","4109 Tchoupitoulas Street","","New Orleans","Designated",4109,0,"4109",296,"KAF","Tchoupitoulas Street","Tchoupitoulas Street","Feature",29.9176526084916,-90.0979390109261,NA
"298","","","","4113 Tchoupitoulas Street","","New Orleans","Nominated",4113,0,"4113",297,"KAF","Tchoupitoulas Street","Tchoupitoulas Street","Feature",29.917639542999,-90.0980902900659,NA
"299","","","","4305 Tchoupitoulas Street","","New Orleans","Nominated",4305,4315,"4305-15",298,"KAF","Tchoupitoulas Street","Tchoupitoulas Street","Feature",29.9174740860189,-90.1000966474246,NA
"300","","","","4419 Tchoupitoulas Street","","New Orleans","Nominated",4419,0,"4419",299,"KAF","Tchoupitoulas Street","Tchoupitoulas Street","Feature",29.9173243764639,-90.1017912881394,NA
"301","","","","4431 Tchoupitoulas Street","","New Orleans","Nominated",4431,0,"4431",300,"KAF","Tchoupitoulas Street","Tchoupitoulas Street","Feature",29.9172834613594,-90.1020654665482,NA
"302","","William Fitzner","1880-81","4500 Tchoupitoulas Street","Lane Cotton Mills","New Orleans","Designated",4500,4610,"4500-4610",301,"KAF","Tchoupitoulas Street","Tchoupitoulas Street","Feature",29.9169050281853,-90.1023836409965,1880-01-01T01:01
"303","","","","4637 Tchoupitoulas Street","","New Orleans","Nominated",4637,4639,"4637-39",302,"KAF","Tchoupitoulas Street","Tchoupitoulas Street","Feature",29.9170990577795,-90.1044273725732,NA
"304","500 Valence Street","","","4701 Tchoupitoulas Street","Rosy's Jazz Club","New Orleans","Nominated",4701,4705,"4701-05",303,"KAF","Tchoupitoulas Street","Tchoupitoulas Street","Feature",29.9170567052384,-90.1048756543274,NA
"305","","","","1738 Terpsichore Street","Professor Longhair Residence","New Orleans","Designated",1738,1740,"1738-40",304,"KAF","Terpsichore Street","Terpsichore Street","Feature",29.9395090707865,-90.0782346334895,NA
"306","","Unknown","1952","3940 Thalia Street","Gem Theater","New Orleans","Designated",3940,0,"3940",305,"KAF","Thalia Street","Thalia Street","Feature",29.9522011351095,-90.0974665418561,1952-01-01T01:01
"307","","Unknown","1904","2216 Third Street","First African Baptist Church","New Orleans","Designated",2216,0,"2216",306,"KAF","Third Street","Third Street","Feature",29.9371431824204,-90.0883733407832,1904-01-01T01:01
"308","2410-12 Gov. Nicholls Street","Unknown","1860/1890","1125 N Tonti Street","Lafon Home/Odyssey House","New Orleans","Designated",1125,0,"1125",308,"KAF","Tonti Street (North)","N Tonti Street","Feature",29.9721169808893,-90.0762952373412,1860-01-01T01:01
"309","","AJF Lorber","1925-26","1 Trianon Plaza","Kelly House","New Orleans","Designated",1,0,"0001",309,"KAF","Trianon Plaza","Trianon Plaza","Feature",29.9539792649618,-90.113185043196,1925-01-01T01:01
"310","","Patrick Keely","1869","1802 Tulane Avenue","St. Joseph's Church","New Orleans","Designated",1802,0,"1802",310,"KAF","Tulane Avenue","Tulane Avenue","Feature",29.9573613646316,-90.0815696131329,1869-01-01T01:01
"311","","","","2401 Tulane Avenue","Dixie Brewery","New Orleans","Nominated",2401,0,"2401",311,"KAF","Tulane Avenue","Tulane Avenue","Feature",29.9606720784505,-90.0871038031734,NA
"312","123-25 Baronne Street","Toledano & Wogan","1908","118 University Place","Fairmont Hotel","CBD","Designated",118,140,"0118-40",312,"KAF","University Place","University Place","Feature",29.9544086830289,-90.0723241717069,1908-01-01T01:01
"313","","G. Albert Lansburgh with Sam Stone","1918","125 University Place","Orpheum Theater","CBD","Designated",125,129,"0125-29",313,"KAF","University Place","University Place","Feature",29.9543333472438,-90.0727325145261,1918-01-01T01:01
"314","","","1902","2101 Ursulines Avenue","St. Ann Shrine","New Orleans","Designated",2101,0,"2101",314,"KAF","Ursulines Avenue","Ursulines Avenue","Feature",29.9699543092343,-90.0741292171758,1902-01-01T01:01
"315","","Unknown","1870","1503 Valence Street","Tewell-Steeg House","New Orleans","Designated",1503,0,"1503",315,"KAF","Valence Street","Valence Street","Feature",29.9256264416884,-90.1051835100618,1870-01-01T01:01
"316","4701-05 Tchoupitoulas Street","","","500 Valence Street","Rosy's Jazz Club","New Orleans","Nominated",500,0,"0500",316,"KAF","Valence Street","Valence Street","Feature",29.9170567052384,-90.1048756543274,NA
"317","","","","932 Valence Street","","New Orleans","Nominated",932,934,"0932-34",317,"KAF","Valence Street","Valence Street","Feature",29.9212848693949,-90.1053616166486,NA
"318","4700 Camp Street","","1870","938 Valence Street","Benny's Bar","New Orleans","Designated",938,0,"938",318,"KAF","Valence Street","Valence Street","Feature",29.9214032188027,-90.1052235095805,1870-01-01T01:01
"319","","Robert Spencer Soule","1911","514 Walnut Street","Von Tresckow-Godoy House","New Orleans","Designated",514,0,"0514",319,"KAF","Walnut Street","Walnut Street","Feature",29.9347643236092,-90.1269012286069,1911-01-01T01:01
"320","","Unknown","1868","1006 Washington Avenue","McClellan-Schanzer House","New Orleans","Designated",1006,0,"1006",320,"KAF","Washington Avenue","Washington Avenue","Feature",29.9253657874236,-90.0821040935817,1868-01-01T01:01
"321","","Emile Weil","1926","3933 Washington Avenue","Tivoli Theater","New Orelans","Designated",3933,0,"3933",321,"KAF","Washington Avenue","Washington Avenue","Feature",29.9502313618103,-90.1001156038214,1926-01-01T01:01
"322","920 State Street","Charles Lewis Hillger","1870","919 Webster Street","German Protestant Orphan Asylum/Stables","New Orleans","Designated",919,0,"0919",322,"KAF","Webster Street","Webster Street","Feature",29.9239830638628,-90.1224645819605,1870-01-01T01:01
"323","","James Freret","1868","1641 Amelia Street","Hernandez-Davis House","New Orleans","Designated",1641,0,"1641",1,"BDB","Amelia Street","Amelia Street","Feature",29.9282048973458,-90.0947852426959,1868-01-01T01:01
"324","802 Delachaise Street","Unknown","","3445 Annunciation Street","Mystical's boyhood home","New Orleans","Nominated",3445,0,"3445",2,"BDB","Annunciation Street","Annunciation Street","Feature",29.9198374427236,-90.0888645451225,NA
"325","","","","3809 Annunciation Street","","New Orleans","Nominated",3809,3811,"3809-11",3,"BDB","Annunciation Street","Annunciation Street","Feature",29.9188275110502,-90.0937190442936,NA
"326","","","","3920 Annunciation Street","","New Orleans","Nominated",3920,3922,"3920-22",4,"BDB","Annunciation Street","Annunciation Street","Feature",29.9182168327911,-90.0948448724264,NA
"327","","","","4324 Annunciation Street","","New Orleans","Nominated",4324,0,"4324",5,"BDB","Annunciation Street","Annunciation Street","Feature",29.9177625304994,-90.1005136023929,NA
"328","","","","4326 Annunciation Street","","New Orleans","Nominated",4326,0,"4326",6,"BDB","Annunciation Street","Annunciation Street","Feature",29.9177547386891,-90.1005976681526,NA
"329","","","","4416 Annunciation Street","","New Orleans","Nominated",4416,0,"4416",7,"BDB","Annunciation Street","Annunciation Street","Feature",29.9176833453845,-90.101843236637,NA
"330","","","1927","8437 Apple Street","Ashton Theater","New Orleans","Designated",8437,0,"8437",8,"BDB","Apple Street","Apple Street","Feature",29.9602200910791,-90.1221120406307,1927-01-01T01:01
"331","","Unknown","1850","1630 Arabella Street","Benjamin-Schlesinger House","New Orleans","Designated",1630,0,"1630",9,"BDB","Arabella Street","Arabella Street","Feature",29.9308122277189,-90.1156387170245,1850-01-01T01:01
"332","","Emile Weil","1923","14 Audubon Boulevard","Shwarz-Long-Sternberg House","New Orleans","Designated",14,0,"0014",10,"BDB","Audubon Boulevard","Audubon Boulevard","Feature",29.9435602958017,-90.1194423808151,1923-01-01T01:01
"333","","Weiss, Dreyfous & Seiferth","1927","27 Audubon Place","Flonacher-Helis House","New Orleans","Designated",27,0,"0027",11,"BDB","Audubon Place","Audubon Place","Feature",29.9388728997828,-90.1217706652844,1927-01-01T01:01
"334","","William Platt","1939-40","7 Bamboo Road","Longue Vue House","New Orleans","Designated",7,0,"0007",12,"BDB","Bamboo Road","Bamboo Road","Feature",29.9776867815998,-90.124609503878,1939-01-01T01:01
"335","118-40 University Place","Toledano & Wogan","1908","123 Baronne Street","Fairmont Hotel","CBD","Designated",123,135,"0123-35",13,"BDB","Baronne Street","Baronne Street","Feature",29.9539374098785,-90.0716551821072,1908-01-01T01:01
"336","","Toledano & Wogan","1929-30","132 Baronne Street","Church of the Immaculate Conception","CBD","Designated",132,0,"0132",14,"BDB","Baronne Street","Baronne Street","Feature",29.9536740628445,-90.0715167905919,1929-01-01T01:01
"337","","","","317 Baronne Street","Former NOPSI building","CBD","Designated",317,0,"0317",15,"BDB","Baronne Street","Baronne Street","Feature",29.952086874071,-90.0726278129457,NA
"338","530 O'Keefe Street","Stone Brothers","1906","533 Baronne Street","Civic Theater","CBD","Designated",533,0,"0533",16,"BDB","Baronne Street","Baronne Street","Feature",29.9493711669797,-90.0734423139688,1906-01-01T01:01
"339","","","","1201 Baronne Street","","New Orleans","Designated",1201,0,"1201",17,"BDB","Baronne Street","Baronne Street","Feature",29.9427058183597,-90.0764630699892,NA
"340","","","","1223 Baronne Street","","New Orleans","Designated",1223,0,"1223",18,"BDB","Baronne Street","Baronne Street","Feature",29.9423407139829,-90.0767527625242,NA
"341","","","","1238 Baronne Street","Uglesich's Restaurant","New Orleans","Designated",1238,0,"1238",19,"BDB","Baronne Street","Baronne Street","Feature",29.9418950671151,-90.0767207432898,NA
"342","1712-24 O.C. Haley; 1819-33 Polymnia Street","","","1725 Baronne Street","Venus Gardens","New Orleans","Designated",1725,0,"1727",20,"BDB","Baronne Street","Baronne Street","Feature",29.9386228696254,-90.0794786086614,NA
"343","1801 Polymnia Street","","","1731 Baronne Street","Polymnia Street Sub Station","New Orleans","Designated",1731,0,"1731",21,"BDB","Baronne Street","Baronne Street","Feature",29.9385322142953,-90.0795362514027,NA
"344","","","","1824 Baronne Street","","New Orleans","Designated",1824,1826,"1824-26",22,"BDB","Baronne Street","Baronne Street","Feature",29.9376420317313,-90.0800678979677,NA
"345","","","","1828 Baronne Street","","New Orleans","Designated",1828,1830,"1828-30",23,"BDB","Baronne Street","Baronne Street","Feature",29.9375817654778,-90.0801539623477,NA
"346","","","","2000 Baronne Street","","New Orleans","Designated",2000,2002,"2000-02",24,"BDB","Baronne Street","Baronne Street","Feature",29.9371813499487,-90.0806584353358,NA
"347","","","","2005 Baronne Street","","New Orelans","Designated",2005,2007,"2005-07",25,"BDB","Baronne Street","Baronne Street","Feature",29.93732492494,-90.0809287262084,NA
"348","","","","2022 Baronne Street","","New Orleans","Designated",2022,2024,"2022-24",26,"BDB","Baronne Street","Baronne Street","Feature",29.9369428035412,-90.0810798081863,NA
"349","","","","2026 Baronne Street","","New Orleans","Designated",2026,2028,"2026-28",27,"BDB","Baronne Street","Baronne Street","Feature",29.9368910575317,-90.0811723073001,NA
"350","","","","2030 Baronne Street","","New Orleans","Designated",2030,2032,"2030-32",28,"BDB","Baronne Street","Baronne Street","Feature",29.9368469170111,-90.08125910734,NA
"351","","Unknown","1866","2103 Baronne Street","Coyle-Ryan House","New Orleans","Designated",2103,2105,"2103-05",29,"BDB","Baronne Street","Baronne Street","Feature",29.9369079949826,-90.0817288448847,1866-01-01T01:01
"352","","","","2219 Baronne Street","","New Orleans","Designated",2219,2121,"2219-21",30,"BDB","Baronne Street","Baronne Street","Feature",29.9361139034828,-90.0830815768804,NA
"353","","","","2232 Baronne Street","","New Orleans","Designated",2232,0,"2232",31,"BDB","Baronne Street","Baronne Street","Feature",29.9357103958574,-90.083072954353,NA
"354","","Unknown","1870","2617 Baronne Street","Hughes-Schexnayder House","New Orleans","Designated",2617,2621,"2617-21",32,"BDB","Baronne Street","Baronne Street","Feature",29.933437245127,-90.0861271113851,1870-01-01T01:01
"355","1200 Bienville Street","Unknown","","237 Basin Street","LuLu White","New Orleans","Designated",237,0,"0237",33,"BDB","Basin Street","Basin Street","Feature",29.9578900913803,-90.0722323555954,NA
"356","","Unknown","1810-20","2275 Bayou Road","Chauffe-Reeves House","New Orleans","Designated",2275,0,"2275",34,"BDB","Bayou Road","Bayou Road","Feature",29.9746093516047,-90.0746832768125,1810-01-01T01:01
"357","237 Basin Street","Unknown","","1200 Bienville Street","LuLu White's Saloon","New Orleans","Designated",1200,0,"1200",35,"BDB","Bienville Street","Bienville Street","Feature",29.9579205728442,-90.0722331369907,NA
"358","240 Crozat Street","Unknown","","1214 Bienville Street","Frank Early's ""My Place"" Saloon","New Orleans","Designated",1214,1216,"1214-16",36,"BDB","Bienville Street","Bienville Street","Feature",29.9580876253681,-90.0724608444986,NA
"359","","","","1012 Brooklyn Street","","New Orleans","Nominated",1012,0,"1012",37,"BDB","Brooklyn Street","Brooklyn Street","Feature",29.9450962786801,-90.0532355594241,NA
"360","","Unknown","1845","842 Camp Street","Lenes-Uddo House","CBD","Designated",842,0,"0842",38,"BDB","Camp Street","Camp Street","Feature",29.9446584812343,-90.0705867946423,1845-01-01T01:01
"361","","Sully & Toledano","1889","929 Camp Street","Confederate Memorial Hall","CBD","Designated",929,933,"0929-33",39,"BDB","Camp Street","Camp Street","Feature",29.9434248158931,-90.0712909364434,1889-01-01T01:01
"362","","Unknown","1866","3643 Camp Street","Rice House-Fink House-Williams House","New Orleans","Designated",3643,0,"3643",40,"BDB","Camp Street","Camp Street","Feature",29.9229522866991,-90.0933227096404,1866-01-01T01:01
"363","","Unknown","1860","500 Canal Street","Montgomery-Katz-Gordon Buildings","CBD","Designated",500,504,"0500-04, 510-12",41,"BDB","Canal Street","Canal Street","Feature",29.9517884035562,-90.0675000693118,1860-01-01T01:01
"364","","Unknown","1860","510 Canal Street","Montgomery-Katz-Gordon Buildings","CBD","Designated",510,512,"0500-04, 510-12",42,"BDB","Canal Street","Canal Street","Feature",29.9519953555296,-90.0678260560214,1860-01-01T01:01
"365","","William A. Freret","1857","622 Canal Street","Merchants Mutual Insurance Co. Bldg.","CBD","Designated",622,0,"0622",43,"BDB","Canal Street","Canal Street","Feature",29.9528613442549,-90.0691568335087,1857-01-01T01:01
"366","115 St. Charles Avenue","Henry Howard","1875","700 Canal Street","Pickwick Club","CBD","Designated",700,710,"0700-10",44,"BDB","Canal Street","Canal Street","Feature",29.953049713231,-90.0694013685381,1875-01-01T01:01
"367","","Favrot & Livaudais","1906","714 Canal Street","Israel-Gindi Building","CBD","Designated",714,716,"0714-16",45,"BDB","Canal Street","Canal Street","Feature",29.9532232006542,-90.069696934303,1906-01-01T01:01
"368","","James Gallier, Sr.","1844","824 Canal Street","Boston Club","CBD","Designated",824,0,"0824",46,"BDB","Canal Street","Canal Street","Feature",29.9538731467125,-90.0706718619723,1844-01-01T01:01
"369","","Stone Brothers","1906-09","901 Canal Street","Maison Blanche Building","CBD","Designated",901,0,"0901",47,"BDB","Canal Street","Canal Street","Feature",29.9546605829728,-90.0708224233861,1906-01-01T01:01
"370","","Emile Weil","1926","1107 Canal Street","Saenger Theater","CBD","Designated",1107,1111,"1107-11",48,"BDB","Canal Street","Canal Street","Feature",29.9560573437733,-90.0728422046792,1926-01-01T01:01
"371","","Claude E. Hooton","1951","1501 Canal Street","Texaco Building","CBD","Designated",1501,0,"1501",49,"BDB","Canal Street","Canal Street","Feature",29.957741115322,-90.0752761863864,1951-01-01T01:01
"372","","Unknown","1889","1800 Canal Street","Orleans House-Orleans Parish Medical Society","New Orleans","Designated",1800,0,"1800",50,"BDB","Canal Street","Canal Street","Feature",29.95956723688,-90.0790729873512,1889-01-01T01:01
"373","","Dreyfous, Sieferth & Gilbert","1956","2640 Canal Street","IBM Building","New Orleans","Designated",2640,0,"2640",51,"BDB","Canal Street","Canal Street","Feature",29.9648278425611,-90.0869990593638,1956-01-01T01:01
"374","","Parham and Labuisse","1966","2650 Canal Street","Whitney Bank Building, Broad Street Bank","New Orleans","Designated",2650,0,"2650",52,"BDB","Canal Street","Canal Street","Feature",29.9650115573694,-90.0872658490875,1966-01-01T01:01
"375","","Lagarde & Burke","1910-11","2940 Canal Street","Canal Street Branch/New Orleans Public Library","New Orelans","Designated",2940,0,"2940",53,"BDB","Canal Street","Canal Street","Feature",29.9673342294449,-90.0905721172274,1910-01-01T01:01
"376","","","","3620 Canal Street","Block Keller House","New Orleans","Nominated",3620,0,"3620",54,"BDB","Canal Street","Canal Street","Feature",29.9714862562307,-90.0966994000008,NA
"377","","August Perez and Associates","1953","3700 Canal Street","Grace Episcopal Church","New Orleans","Designated",3700,0,"3700",55,"BDB","Canal Street","Canal Street","Feature",29.9718748786473,-90.0972510601683,1953-01-01T01:01
"378","","Curtis and Davis","1963","4140 Canal Street","Automotive Life Building","New Orleans","Designated",4140,0,"4140",56,"BDB","Canal Street","Canal Street","Feature",29.9747852544904,-90.1019756845351,1963-01-01T01:01
"379","","Favrot and Reed Architects","1949","4176 Canal Street","Singer Sewing Company","New Orleans","Designated",4176,0,"4176",57,"BDB","Canal Street","Canal Street","Feature",29.9752509411576,-90.1024354539568,1949-01-01T01:01
"380","","H. Jordan MacKenzie","1915","4506 Canal Street","Kane Residence","New Orleans","Nominated",4506,0,"4506",58,"BDB","Canal Street","Canal Street","Feature",29.9774364175126,-90.1054764473096,1915-01-01T01:01
"381","","","","4800 Canal Street","","New Orleans","Nominated",4800,0,"4800",59,"BDB","Canal Street","Canal Street","Feature",29.9792857122942,-90.1081178261001,NA
"382","","Albert Huber","1931","4841 Canal Street","Hope Mausoleum","New Orleans","Designated",4841,0,"4841",60,"BDB","Canal Street","Canal Street","Feature",29.9800473345083,-90.1082983673174,1931-01-01T01:01
"383","","Moise Goldstein","1928-29","200 Carondelet Street","National American Bank","CBD","Designated",200,0,"0200",61,"BDB","Carondelet Street","Carondelet Street","Feature",29.9524827752025,-90.0708921856611,1928-01-01T01:01
"384","","Favrot & Livaudais","1920-21","301 Carondelet Street","Hibernia Bank Building","CBD","Designated",301,0,"0301",62,"BDB","Carondelet Street","Carondelet Street","Feature",29.9519065875781,-90.071369156862,1920-01-01T01:01
"385","802-22 Perdido Street","Lewis Reynolds","1858","401 Carondelet Street","Factor's Row","CBD","Designated",401,415,"0401-15",63,"BDB","Carondelet Street","Carondelet Street","Feature",29.9506587669209,-90.0717235895663,1858-01-01T01:01
"386","","","","1200 Carondelet Street","","New Orleans","Designated",1200,1206,"1200-06",64,"BDB","Carondelet Street","Carondelet Street","Feature",29.941882346862,-90.0750802841486,NA
"387","","Unknown","1828-29","1418 Govenor Nicholls Street","Meilleur-Goldthwaite-Lansford House","New Orleans","Designated",1418,0,"1418",171,"BDB","Govenor Nicholls Street","Govenor Nicholls Street","Feature",29.9665408541287,-90.0678738013545,1828-01-01T01:01
"388","1125 N. Tonti Street","Unknown","1866 & 1890's","2410 Govenor Nicholls Street","Lafon Home, Odyssey House","New Orleans","Designated",2410,2412,"2410-12",172,"BDB","Govenor Nicholls Street","Govenor Nicholls Street","Feature",29.9723192642769,-90.0763214472607,1866-01-01T01:01
"389","","Lewis E. Reynolds","1860","822 Gravier Street","Gravier Row","CBD","Designated",822,828,"0822-28",173,"BDB","Gravier Street","Gravier Street","Feature",29.9521057311944,-90.0718380197955,1860-01-01T01:01
"390","","","","2600 Gravier Street","Falstaff Brewery","New Orleans","Nominated",2600,0,"2600",174,"BDB","Gravier Street","Gravier Street","Feature",29.9600039738917,-90.0904891921832,NA
"391","","","","7722 Hampson Street","Thompson-Pugh House","New Orleans","Nominated",7722,0,"7722",175,"BDB","Hampson Street","Hampson Street","Feature",29.9414456380654,-90.130675265503,NA
"392","","","","Hayne Boulevard","Hayne Boulevard Camps","New Orleans","Nominated",0,0,"",176,"BDB","Hayne Boulevard Camps","Hayne Boulevard","Feature",30.0455217985923,-89.994007711958,NA
"393","","Br. Leonard with William Burk","1912","720 Henry Clay Avenue","St. Clare's Monastery","New Orleans","Designated",720,0,"0720",177,"BDB","Henry Clay Avenue","Henry Clay Avenue","Feature",29.9229677469224,-90.1251497513083,1912-01-01T01:01
"394","","Thomas Sully","1895","1234 Henry Clay Avenue","Ellermann-Gore House","New Orleans","Designated",1234,0,"1234",178,"BDB","Henry Clay Avenue","Henry Clay Avenue","Feature",29.9274264022578,-90.1227117975471,1895-01-01T01:01
"395","St. Louis Cemetery #1","","","425 Basin Street","Tomb of Marie Laveau","New Orleans","Nominated",425,0,"",324,"KAF","Basin Street","Basin Streeet","Feature",29.959068610482,-90.071277152663,NA
"396","1600 S Peters Street","","","337 Market Street","Market Street Power Plant","New Orleans","Nominated",337,0,"0337",329,"KAF","Market Street","Market Street","Feature",29.9296629661898,-90.0644959154296,NA
